Code,Name,Category,Punishments,Applicable when
1328,Presidential Election Rules 1988 - Corrupt practices,Election Laws,Imprisonment up to 3 years &/or fine,Bribing electors in a presidential election like offering money to MNAs
123,Muslim Personal Law (Shariat) Application Act,Family Laws,Fine up to PKR 50000,Denying Sharia-based inheritance like excluding a daughter from property
124,Succession Act,Family Laws,Imprisonment up to 6 months &/or fine,Forging a will to claim inheritance like altering a dead relative’s document
125,Punjab Pre-emption Act,Family Laws,Fine up to PKR 30000,Not offering property to family first like selling land to an outsider
126,Sindh Child Protection Act,Family Laws,Imprisonment up to 3 years &/or fine,Neglecting a child’s welfare like abandoning them on the street
110,Hindu Disposition of Property Act,Family Laws,Fine or imprisonment up to 6 months,Illegally transferring Hindu family property like selling without consent
111,Hindu Inheritance (Removal of Disabilities) Act,Family Laws,Fine up to PKR 40000,Denying inheritance to a disabled Hindu heir like excluding them from a will
112,Hindu Marriage Disabilities Removal Act,Family Laws,Fine up to PKR 100000,Preventing a Hindu marriage due to disability like stopping a ceremony
113,Hindu Married Women's Right to Separate Residence and Maintenance Act,Family Laws,Imprisonment up to 3 months &/or fine,Refusing a Hindu wife separate residence after abuse like locking her in
114,Hindu Widows' Re-marriage Act,Family Laws,Fine up to PKR 75000,Stopping a Hindu widow from remarrying like threatening her family
115,Hindu Women's Rights to Property Act,Family Laws,Fine up to PKR 60000,Denying a Hindu woman her property share like withholding land after husband’s death
116,Marriage Functions (Prohibition of Ostentatious Displays) Ordinance,Family Laws,Fine up to PKR 80000,Hosting an overly lavish wedding like spending millions on decorations
117,Married Women's Property Act,Family Laws,Imprisonment up to 6 months &/or fine,Misusing a married woman’s property like selling her jewelry without consent
119,Parsi Marriage and Divorce Act,Family Laws,Fine up to PKR 90000,Falsifying a Parsi marriage record like altering a certificate
120,Special Marriage Act,Family Laws,Imprisonment up to 1 year &/or fine,Marrying under this act with false identity like using a fake ID
121,West Pakistan Family Courts Act,Family Laws,Fine up to PKR 50000,Disobeying a family court order like not paying child support
122,Hindu Marriage Act,Family Laws,Fine or imprisonment up to 1 year,Failing to register a Hindu marriage like not filing with authorities
127,Child Marriage Restraint Act 1929,Family Laws,Imprisonment up to 6 months &/or fine up to PKR 50000,Arranging marriage of a girl under 16 or boy under 18 like forcing a minor into wedlock
128,Muslim Family Laws Ordinance 1961 - Polygamy without permission,Family Laws,Imprisonment up to 1 year &/or fine up to PKR 5000,Marrying a second wife without Arbitration Council approval like hiding it from authorities
129,Muslim Family Laws Ordinance 1961 - Failure to register marriage,Family Laws,Fine up to PKR 1000 or imprisonment up to 3 months,Not registering a nikah with the local union council
130,Muslim Family Laws Ordinance 1961 - Talaq without notice,Family Laws,Imprisonment up to 1 year &/or fine up to PKR 5000,Divorcing without notifying the Arbitration Council like verbal talaq without process
131,Dowry and Bridal Gifts (Restriction) Act 1976,Family Laws,Fine up to PKR 10000 or imprisonment up to 6 months,Demanding excessive dowry like asking for PKR 1 million in cash
132,Prohibition (Enforcement of Hadd) Ordinance 1979 - False accusation of zina,Family Laws,Imprisonment up to 5 years & 80 lashes,Falsely accusing someone of adultery like lying to ruin a marriage
133,Offence of Zina (Enforcement of Hudood) Ordinance 1979,Family Laws,Death by stoning or 100 lashes,Committing adultery or fornication proven by four witnesses
134,Offence of Qazf (Enforcement of Hadd) Ordinance 1979,Family Laws,Imprisonment up to 2 years & 80 lashes,Making a false accusation of adultery without proof
135,Punjab Protection of Women Against Violence Act 2016,Family Laws,Imprisonment up to 1 year &/or fine up to PKR 50000,Domestic violence like beating a wife in Punjab
136,Sindh Child Marriages Restraint Act 2013,Family Laws,Imprisonment up to 3 years &/or fine up to PKR 100000,Marrying a child under 18 in Sindh like arranging a wedding for a 15-year-old
137,KP Child Protection and Welfare Act 2010,Family Laws,Imprisonment up to 3 years &/or fine up to PKR 50000,Abusing a child in KP like physical harm by a guardian
138,Balochistan Child Protection Act 2016,Family Laws,Imprisonment up to 3 years &/or fine up to PKR 50000,Neglecting a child’s safety in Balochistan like leaving them unattended
139,Punjab Marriage Restraint Act 2015,Family Laws,Imprisonment up to 6 months &/or fine up to PKR 50000,Facilitating underage marriage in Punjab like officiating a ceremony
140,Guardians and Wards Act 1890 - Violation of custody order,Family Laws,Imprisonment up to 6 months &/or fine up to PKR 10000,Refusing to hand over a child per court order like hiding them from a parent
141,Family Courts Act 1964 - Contempt of court,Family Laws,Imprisonment up to 6 months &/or fine up to PKR 2000,Disrupting family court proceedings like insulting a judge
142,Dissolution of Muslim Marriages Act 1939 - False statement,Family Laws,Fine up to PKR 1000,Making a false claim in divorce proceedings like lying about cruelty
143,Punjab Forced Marriage Prevention Act 2021,Family Laws,Imprisonment up to 7 years &/or fine up to PKR 500000,Forcing someone into marriage in Punjab like threatening a woman to wed
523,Drug Act 1976 - Sale of spurious drugs,General Health / Medical,Imprisonment up to 7 years & fine up to PKR 100000,Selling fake medicines like counterfeit antibiotics
524,Drug Act 1976 - Adulteration of drugs,General Health / Medical,Imprisonment up to 5 years & fine up to PKR 50000,Mixing harmful substances in drugs like diluting injections
525,Drug Act 1976 - Unregistered drug sale,General Health / Medical,Imprisonment up to 3 years & fine up to PKR 50000,Selling unapproved drugs like importing without DRAP permission
526,Pakistan Medical Commission Act 2020 - Unregistered medical practice,General Health / Medical,Imprisonment up to 5 years &/or fine up to PKR 1000000,Practicing medicine without PMC license like running a fake clinic
527,Pakistan Medical Commission Act 2020 - False representation as doctor,General Health / Medical,Imprisonment up to 2 years &/or fine up to PKR 500000,Pretending to be a doctor like using a fake MBBS degree
528,Pharmacy Act 1967 - Unlicensed pharmacy,General Health / Medical,Imprisonment up to 5 years & fine up to PKR 200000,Operating a pharmacy without registration like selling drugs illegally
529,Allopathic System (Prevention of Misuse) Ordinance 1962,General Health / Medical,Imprisonment up to 3 years &/or fine up to PKR 5000,Quackery like prescribing allopathic medicine without qualification
530,Transplantation of Human Organs and Tissues Act 2010,General Health / Medical,Imprisonment up to 10 years & fine up to PKR 1000000,Illegal organ trade like selling a kidney for profit
531,Pakistan Standards and Quality Control Authority Act 1996 - Food adulteration,General Health / Medical,Imprisonment up to 3 years &/or fine up to PKR 500000,Selling substandard food like contaminated meat
532,Protection Against Harassment of Health Workers Act 2020,General Health / Medical,Imprisonment up to 3 years &/or fine up to PKR 100000,Assaulting a doctor like attacking hospital staff during duty
533,Balochistan Epidemic Diseases Act 2020,General Health / Medical,Imprisonment up to 6 months &/or fine up to PKR 50000,Violating quarantine in Balochistan like leaving isolation during an outbreak
534,Anti-Quackery Regulations (Provincial),General Health / Medical,Imprisonment up to 2 years &/or fine up to PKR 200000,Running a fake clinic in any province like treating patients without a degree
535,Punjab Hepatitis Act 2018,General Health / Medical,Imprisonment up to 2 years &/or fine up to PKR 100000,Spreading hepatitis negligently like reusing syringes in Punjab
536,Sindh HIV/AIDS Control and Treatment Act 2013,General Health / Medical,Imprisonment up to 3 years &/or fine up to PKR 200000,Discriminating against HIV patients like denying them treatment in Sindh
537,KP Vaccination Act 2017,General Health / Medical,Fine up to PKR 50000 or imprisonment up to 3 months,Refusing child vaccination in KP like denying polio drops
538,Pakistan Blood Safety Ordinance 2002,General Health / Medical,Imprisonment up to 3 years &/or fine up to PKR 100000,Selling contaminated blood like unsafe transfusions
539,Punjab Prohibition of Smoking in Public Places Act 2003,General Health / Medical,Fine up to PKR 5000 or imprisonment up to 1 month,Smoking in a hospital in Punjab like lighting up in a ward
540,Islamabad Capital Territory Public Health Act 2021,General Health / Medical,Imprisonment up to 1 year &/or fine up to PKR 100000,Violating public health orders in Islamabad like ignoring a mask mandate
519,Food Safety and Standards Act,General Health / Medical,Imprisonment up to 3 years &/or fine,Selling adulterated food like mixing water in milk for profit
520,Pakistan Nursing Council Act,General Health / Medical,Fine up to PKR 50000,Practicing nursing without registration like giving injections illegally
521,Injuries Act,General Health / Medical,Imprisonment up to 5 years,Causing injury through medical negligence like botching a surgery
522,Punjab Pure Food Ordinance,General Health / Medical,Fine up to PKR 100000,Selling expired medicine like old antibiotics in Punjab
507,Sindh Healthcare Commission Act,General Health / Medical,Fine up to PKR 500000,Operating a hospital without Sindh registration like treating patients illegally
508,Khyber Pakhtunkhwa Healthcare Commission Act,General Health / Medical,Fine up to PKR 500000,Running an unapproved clinic in KP like providing surgeries without license
509,Balochistan Healthcare Commission Act,General Health / Medical,Fine up to PKR 500000,Offering medical services in Balochistan without approval like fake vaccinations
510,Islamabad Healthcare Regulation Act,General Health / Medical,Fine up to PKR 500000,Practicing medicine in Islamabad without registration like opening an illegal pharmacy
511,Punjab Essential Services (Maintenance) Act,General Health / Medical,Imprisonment up to 1 year,Striking as a doctor during an emergency like abandoning patients in Punjab
512,Sindh Essential Services (Maintenance) Act,General Health / Medical,Imprisonment up to 1 year,Refusing to work as a nurse in Sindh during a crisis like a flood
513,Khyber Pakhtunkhwa Essential Services (Maintenance) Act,General Health / Medical,Imprisonment up to 1 year,Stopping hospital work in KP during an outbreak like leaving during COVID
514,Balochistan Essential Services (Maintenance) Act,General Health / Medical,Imprisonment up to 1 year,Halting medical services in Balochistan during an emergency like an earthquake
515,Islamabad Essential Services (Maintenance) Act,General Health / Medical,Imprisonment up to 1 year,Abandoning healthcare duties in Islamabad during a disaster like a bomb blast
516,Punjab Epidemic Diseases Act,General Health / Medical,Imprisonment up to 6 months &/or fine,Ignoring lockdown orders in Punjab like opening a shop during a plague
517,Sindh Epidemic Diseases Act,General Health / Medical,Imprisonment up to 6 months &/or fine,Breaking quarantine in Sindh like visiting friends while infected
518,Khyber Pakhtunkhwa Epidemic Diseases Act,General Health / Medical,Imprisonment up to 6 months &/or fine,Refusing vaccination mandates in KP like rejecting polio drops
507,Sindh Healthcare Commission Act,General Health / Medical,Fine up to PKR 500000,Operating a hospital without Sindh registration like treating patients illegally
508,Khyber Pakhtunkhwa Healthcare Commission Act,General Health / Medical,Fine up to PKR 500000,Running an unapproved clinic in KP like providing surgeries without license
509,Balochistan Healthcare Commission Act,General Health / Medical,Fine up to PKR 500000,Offering medical services in Balochistan without approval like fake vaccinations
510,Islamabad Healthcare Regulation Act,General Health / Medical,Fine up to PKR 500000,Practicing medicine in Islamabad without registration like opening an illegal pharmacy
511,Punjab Essential Services (Maintenance) Act,General Health / Medical,Imprisonment up to 1 year,Striking as a doctor during an emergency like abandoning patients in Punjab
512,Sindh Essential Services (Maintenance) Act,General Health / Medical,Imprisonment up to 1 year,Refusing to work as a nurse in Sindh during a crisis like a flood
513,Khyber Pakhtunkhwa Essential Services (Maintenance) Act,General Health / Medical,Imprisonment up to 1 year,Stopping hospital work in KP during an outbreak like leaving during COVID
514,Balochistan Essential Services (Maintenance) Act,General Health / Medical,Imprisonment up to 1 year,Halting medical services in Balochistan during an emergency like an earthquake
515,Islamabad Essential Services (Maintenance) Act,General Health / Medical,Imprisonment up to 1 year,Abandoning healthcare duties in Islamabad during a disaster like a bomb blast
516,Punjab Epidemic Diseases Act,General Health / Medical,Imprisonment up to 6 months &/or fine,Ignoring lockdown orders in Punjab like opening a shop during a plague
517,Sindh Epidemic Diseases Act,General Health / Medical,Imprisonment up to 6 months &/or fine,Breaking quarantine in Sindh like visiting friends while infected
518,Khyber Pakhtunkhwa Epidemic Diseases Act,General Health / Medical,Imprisonment up to 6 months &/or fine,Refusing vaccination mandates in KP like rejecting polio drops
374,Unlawful Compulsory Labor,Labour Laws,Imprisonment up to 1 year &/or fine,Forcing someone to work against their will like unpaid factory labor
375A,Sexual Harassment in Workplace,Labour Laws,Imprisonment up to 3 years &/or fine,Making unwanted sexual advances to employees like inappropriate touching
341,Wrongful Restraint,Labour Laws,Imprisonment up to 1 month &/or fine up to PKR 500,Preventing workers from leaving the workplace like locking factory doors
342,Wrongful Confinement,Labour Laws,Imprisonment up to 1 year &/or fine up to PKR 1000,Keeping workers confined in workplace like forcing overnight stays
337,Causing Hurt,Labour Laws,Various penalties depending on injury,Causing injury to workers like not maintaining dangerous machinery
506,Criminal Intimidation,Labour Laws,Imprisonment up to 2 years &/or fine,Threatening workers with harm like firing if they join a union
509,Insulting Modesty,Labour Laws,Imprisonment up to 3 years &/or fine,Harassing female workers like making lewd remarks
340,Wrongful Confinement for 3+ days,Labour Laws,Imprisonment up to 2 years &/or fine,Keeping workers locked in a factory for extended periods
343,Wrongful Confinement for 3+ days,Labour Laws,Imprisonment up to 2 years &/or fine,Confining workers beyond legal working hours for multiple days
344,Wrongful Confinement for 10+ days,Labour Laws,Imprisonment up to 3 years &/or fine,Forcing laborers to stay on-site for over 10 days without leave
346,Wrongful Confinement in Secret,Labour Laws,Imprisonment up to 2 years in addition to other punishment,Hiding workers in unknown locations like remote work camps
347,Wrongful Confinement for Extortion,Labour Laws,Imprisonment up to 3 years &/or fine,Confining workers until they agree to unfair labor terms
354,Assault to Outrage Modesty,Labour Laws,Imprisonment up to 2 years &/or fine,Physically harassing female workers like inappropriate touching
354A,Assault on Woman to Strip Her,Labour Laws,Death or imprisonment for life &/or fine,Forcing a female worker to undress as punishment or humiliation
498A,Forced Labor Under False Pretense,Labour Laws,Imprisonment up to 7 years &/or fine,Tricking someone into bonded labor like offering fake employment
380,Theft in Dwelling House,Land and Property,Imprisonment up to 7 years &/or fine,Stealing property from someone's home like taking fixtures
381,Theft by Clerk or Servant,Land and Property,Imprisonment up to 7 years &/or fine,Property caretaker stealing items like a guard taking valuables
406,Criminal Breach of Trust by Public Servant/Banker,Land and Property,Imprisonment up to 10 years &/or fine,Land registry official misusing property documents
409,Criminal Breach of Trust by Public Servant,Land and Property,Imprisonment up to 10 years &/or fine,Government employee misappropriating land like granting illegal permits
417,Cheating by Personation,Land and Property,Imprisonment up to 3 years &/or fine,Pretending to be the owner of property like impersonating a landlord
420,Cheating and Dishonestly Inducing Property Delivery,Land and Property,Imprisonment up to 7 years &/or fine,Fraudulently obtaining property like collecting rent for someone else's land
426,Mischief,Land and Property,Imprisonment up to 3 months &/or fine,Minor property damage like removing boundary stones
428,Killing or Maiming Animals,Land and Property,Imprisonment up to 2 years &/or fine,Killing livestock on someone's property like poisoning cattle
429,Killing Valuable Animals,Land and Property,Imprisonment up to 5 years &/or fine,Killing valuable farm animals like work elephants or camels
430,Mischief by Injury to Works of Irrigation,Land and Property,Imprisonment up to 5 years &/or fine,Damaging water systems like breaking irrigation channels
431,Damage to Public Road or Diverted Waters,Land and Property,Imprisonment up to 5 years &/or fine,Obstructing roads on property like blocking public access
435,Mischief by Fire or Explosive,Land and Property,Imprisonment up to 7 years &/or fine,Burning crops or buildings like setting fire to a rival's fields
436,Mischief by Fire to Dwelling-Place,Land and Property,Imprisonment up to 10 years &/or fine,Burning someone's home like arson of an occupied house
442,House Trespass,Land and Property,Imprisonment up to 1 year &/or fine,Entering someone's home without permission like breaking into a house
453,Lurking House-Trespass/Break-in,Land and Property,Imprisonment up to 2 years &/or fine,Breaking into a property secretly like entering through a broken wall
457,House-Breaking by Night,Land and Property,Imprisonment up to 5 years &/or fine,Breaking into property at night like forcing entry after dark
458,House-Breaking by Night to Commit Offense,Land and Property,Imprisonment up to 14 years &/or fine,Breaking in at night to damage property like night vandalism
462,Punishment for Using False Property Mark,Land and Property,Imprisonment up to 1 year &/or fine,Using fake property identifiers like counterfeit boundary marks
477A,Falsification of Accounts Related to Property,Land and Property,Imprisonment up to 7 years &/or fine,Altering property records like changing land measurement records
378,Theft,Land and Property,Imprisonment up to 3 years &/or fine,Taking property without permission like stealing building materials
379,Punishment for Theft,Land and Property,Imprisonment up to 3 years &/or fine,Stealing property like removing boundary markers from land
403,Dishonest Misappropriation of Property,Land and Property,Imprisonment up to 2 years &/or fine,Taking someone's property temporarily like using their land without permission
405,Criminal Breach of Trust,Land and Property,Imprisonment up to 3 years &/or fine,Misusing property entrusted to you like selling leased land
415,Cheating,Land and Property,Imprisonment up to 1 year &/or fine,Deceiving someone about property like selling land with false documents
425,Mischief,Land and Property,Imprisonment up to 3 months &/or fine,Damaging property like destroying crops on someone's land
427,Mischief causing damage,Land and Property,Imprisonment up to 2 years &/or fine,Causing significant property damage like demolishing boundary walls
441,Criminal Trespass,Land and Property,Imprisonment up to 3 months &/or fine up to PKR 500,Entering property without permission like occupying someone's land
447,Criminal Trespass,Land and Property,Imprisonment up to 3 months &/or fine up to PKR 500,Entering someone's land without permission like building on their plot
448,House-trespass,Land and Property,Imprisonment up to 1 year &/or fine up to PKR 1000,Entering someone's building without permission like occupying their house
452,House-trespass with intent to harm,Land and Property,Imprisonment up to 7 years &/or fine,Breaking into property to cause harm like damaging fixtures
456,House-trespass by night,Land and Property,Imprisonment up to 3 years &/or fine,Entering property at night like stealing from a building after hours
463,Forgery,Land and Property,Imprisonment up to 2 years &/or fine,Creating false property documents like fake land titles
464,Making a false document,Land and Property,Imprisonment up to 3 years &/or fine,Altering property records like changing names on deeds
467,Forgery of valuable security,Land and Property,Imprisonment up to 10 years &/or fine,Forging important property documents like land registry certificates
468,Forgery for purpose of cheating,Land and Property,Imprisonment up to 7 years &/or fine,Creating fake documents to cheat in property deals like false sale deeds
471,Using forged document as genuine,Land and Property,Punishment as if forgery committed,Using fake property papers like presenting false ownership documents
